Lið,Nafn,Lið,Leikir,Mörk,%,xG,+/-,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,G/A,Frk,Stl,Blk,Stp,Gul,2m,Rau
HK,Andri Þór Helgason,hk,24,4.1,65.8,4.23,-0.15,1.5,77.1,0.0,0.8,1.0,81.8,0.0,0.5,1.50,1.83,4.9,0.5,0.4,0.0,0.3,0.0,0.0,0.0
Stjarnan,Pétur Árni Hauksson,stjarnan,15,2.3,47.9,2.61,-0.28,0.0,0,0.6,3.0,4.7,63.4,0.6,2.7,1.13,1.78,5.3,0.5,0.9,0.1,2.8,0.0,0.5,0.0
Haukar,Hergeir Grímsson,haukar,28,2.9,62.1,3.07,-0.14,1.2,70.2,0.8,1.6,2.4,66.7,0.2,1.1,1.53,2.30,4.5,0.3,0.3,0.0,1.9,0.0,0.4,0.0
Fram,Magnús Öder Einarsson,fram,8,0.5,44.4,0.68,-0.18,0.0,0,0.0,0.4,0.8,50.0,0.0,0.5,0.75,1.50,0.9,0.6,0.9,1.1,3.8,0.1,0.9,0.1
Selfoss,Sverrir Pálsson,selfoss,16,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.1,0.3,0.6,1.7,0.1,0.5,0.0
FH,Jakob Martin Ásgeirsson,fh,32,1.3,67.8,1.19,+0.06,0.0,0,0.1,0.1,0.1,100.0,0.0,0.1,1.00,1.00,1.4,0.4,0.3,0.0,0.9,0.0,0.4,0.0
KA,Bjarni Ófeigur Valdimarsson,ka,24,7.2,60.9,7.30,-0.09,1.4,77.3,0.4,6.3,8.7,72.7,1.8,3.5,1.79,2.46,13.5,0.3,0.4,0.3,2.0,0.1,0.4,0.0
IR,Sveinn Brynjar Agnarsson,ir,21,2.7,66.7,2.62,+0.04,0.0,100.0,0.2,0.1,0.1,100.0,0.0,0.2,0.75,0.75,2.8,0.9,0.4,0.0,0.3,0.0,0.2,0.0
Valur,Arnór Snær Óskarsson,valur,24,8.4,70.9,8.68,-0.26,3.3,77.7,0.8,4.8,6.6,73.1,0.7,2.1,2.28,3.12,13.2,0.5,0.5,0.0,0.8,0.0,0.1,0.0
Valur,Magnús Óli Magnússon,valur,26,3.2,57.3,3.19,-0.03,0.2,75.0,0.5,2.3,3.3,69.3,0.3,1.5,1.53,2.20,5.5,0.2,0.8,0.1,1.5,0.0,0.2,0.0
Selfoss,Guðjón Baldur Ómarsson,selfoss,10,1.4,53.8,1.67,-0.27,0.0,0,0.1,0.2,0.3,66.7,0.0,0.0,0,0,1.6,0.5,0.1,0.0,0.1,0.0,0.1,0.0
HK,Leó Snær Pétursson,hk,19,2.9,62.5,3.04,-0.14,0.7,81.3,0.1,0.2,0.4,50.0,0.0,0.2,0.75,1.50,3.1,0.9,0.3,0.0,0.2,0.0,0.2,0.0
IR,Bjarki Steinn Þórisson,ir,12,0.3,37.5,0.47,-0.22,0.0,0,0.2,0.1,0.1,100.0,0.0,0.2,0.50,0.50,0.4,0.1,0.0,0.1,1.2,0.0,0.6,0.1
FH,Einar Örn Sindrason,fh,28,1.9,57.8,1.90,-0.04,0.2,83.3,0.3,1.7,2.4,70.6,0.1,1.2,1.45,2.06,3.6,0.1,0.1,0.0,0.1,0.0,0.1,0.0
IBV,Sveinn José Rivera,ibv,24,3.5,81.6,3.04,+0.46,0.0,0,1.1,0.0,0.0,0,0.0,0.3,0.13,0.25,3.5,0.3,0.1,0.1,0.3,0.0,0.0,0.0
Selfoss,Hannes Höskuldsson,selfoss,21,7.3,66.7,7.26,+0.08,2.4,73.5,0.3,0.1,0.1,100.0,0.0,0.8,0.13,0.13,7.4,0.5,0.4,0.1,1.4,0.1,0.1,0.0
KA,Arnór Ísak Haddsson,ka,23,2.3,62.7,2.34,-0.08,0.0,0,0.8,1.7,2.4,72.2,0.2,1.0,1.77,2.45,4,0.2,0.2,0.0,2.4,0.1,0.4,0.0
KA,Daði Jónsson,ka,21,0.3,60.0,0.27,+0.02,0.0,0,0.1,0.4,0.6,69.2,0.0,0.3,1.50,2.17,0.7,0.3,0.3,0.1,4.6,0.1,0.9,0.0
KA,Dagur Gautason,ka,11,3.6,76.9,3.32,+0.31,0.2,100.0,0.2,0.1,0.3,33.3,0.0,0.4,0.25,0.75,3.7,0.6,0.4,0.0,0.9,0.0,0.2,0.0
HK,Hjörtur Ingi Halldórsson,hk,24,2.3,51.4,2.20,+0.13,0.0,0,0.3,2.5,3.7,67.0,0.4,1.9,1.28,1.91,4.8,0.4,0.9,0.8,2.8,0.0,0.5,0.0
Thor,Arnór Þorri Þorsteinsson,player_images\thor,22,1.5,51.5,1.55,-0.01,0.1,66.7,0.1,0.5,1.0,52.2,0.1,0.8,0.67,1.28,2,0.3,0.1,0.0,0.9,0.0,0.4,0.0
KA,Patrekur Stefánsson,ka,18,1.1,52.8,1.18,-0.12,0.0,0,0.2,0.4,0.6,66.7,0.1,0.3,1.33,2.00,1.5,0.1,0.2,0.0,0.8,0.0,0.1,0.0
Thor,Brynjar Hólm Grétarsson,player_images\thor,22,5.5,57.3,5.38,+0.16,0.0,0,0.9,3.7,5.7,64.8,0.8,2.8,1.31,2.02,9.2,0.7,1.0,0.8,4.3,0.2,0.9,0.1
Thor,Hafþór Már Vignisson,player_images\thor,16,4.4,56.0,3.92,+0.46,0.0,0,1.3,5.6,8.1,69.0,0.6,2.4,2.34,3.39,10,0.8,0.3,0.1,1.5,0.1,0.2,0.0
Thor,Þórður Tandri Ágústsson,player_images\thor,21,3.3,66.7,3.69,-0.36,0.0,0,0.7,0.0,0.2,0.0,0.0,0.5,0.00,0.36,3.3,0.0,0.6,0.5,3.9,0.1,1.2,0.1
Fram,Ívar Logi Styrmisson,fram,23,5.3,68.0,5.26,0.00,2.3,83.1,0.6,1.0,1.6,62.9,0.2,1.0,0.96,1.52,6.3,0.4,0.4,0.0,0.6,0.0,0.2,0.0
IBV,Gabríel Martinez Róbertsson,ibv,4,2.5,76.9,2.07,+0.43,0.0,0,0.5,0.0,0.0,0,0.0,0.5,0.00,0.00,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Valur,Viktor Sigurðsson,valur,18,3.7,53.2,3.70,-0.03,0.2,50.0,0.5,3.9,5.5,71.4,0.5,1.6,2.41,3.38,7.6,0.1,0.4,0.1,0.6,0.0,0.2,0.1
HK,Gunnar Dan Hlynsson,hk,14,0.2,75.0,0.22,0.00,0.0,0,0.1,0.0,0.0,0,0.0,0.0,0,0,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0
IR,Elvar Otri Hjálmarsson,ir,22,2.0,49.4,1.84,+0.11,0.0,0,0.2,2.2,3.4,65.3,0.3,1.1,1.96,3.00,4.2,0.4,0.4,0.0,2.3,0.0,0.4,0.0
Afturelding,Þorvaldur Tryggvason,umfa,24,0.8,81.8,0.66,+0.09,0.0,0,0.3,0.3,0.5,60.0,0.0,0.1,3.00,5.00,1.1,0.2,0.5,0.5,4.2,0.1,0.6,0.0
IBV,Jakob Ingi Stefánsson,ibv,8,2.8,68.8,2.74,+0.01,0.0,0,0.0,0.1,0.1,100.0,0.0,0.1,1.00,1.00,2.9,0.5,0.3,0.0,0.0,0.3,0.3,0.0
Stjarnan,Tandri Már Konráðsson,stjarnan,3,0.3,14.3,1.33,-1.00,0.3,50.0,0.0,0.7,1.0,66.7,0.0,0.3,2.00,3.00,1,0.0,0.0,0.0,0.7,0.3,0.7,0.3
Afturelding,Ágúst Ingi Óskarsson,umfa,22,2.1,56.0,2.20,-0.06,0.0,0,0.9,1.1,2.0,55.6,0.2,1.5,0.76,1.36,3.2,0.3,0.7,0.1,3.0,0.2,0.8,0.0
HK,Kristján Pétur Barðason,hk,5,0.4,40.0,0.68,-0.28,0.0,0,0.0,0.0,0.0,0,0.0,0.2,0.00,0.00,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0
FH,Símon Michael Guðjónsson,fh,31,4.6,72.4,4.54,+0.11,1.9,70.7,0.2,0.3,0.3,100.0,0.0,0.5,0.57,0.57,4.9,0.8,0.7,0.0,0.2,0.0,0.0,0.0
